state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
16,5,Idaho,Bannock County,2016,84676,42136,42540,6201,3157,3044,64681,31979,32702,62169,30678,31491,11369,5265,6104,1266,484,782,33.599998,32.599998,34.5
16,5,Idaho,Bannock County,2017,85482,42531,42951,6188,3094,3094,65465,32381,33084,62920,31080,31840,11845,5522,6323,1309,509,800,33.900002,33,34.799999
16,5,Idaho,Bannock County,2018,86674,43034,43640,6131,3045,3086,66585,32848,33737,64053,31580,32473,12321,5764,6557,1325,510,815,34.099998,33.400002,35
16,5,Idaho,Bannock County,2019,87808,43650,44158,6102,3069,3033,67678,33420,34258,65104,32110,32994,12894,6062,6832,1327,513,814,34.5,33.700001,35.400002
16,7,Idaho,Bear Lake County,2010c,5986,2972,3014,410,203,207,4533,2250,2283,4350,2161,2189,1104,525,579,142,56,86,40.5,40,41
16,7,Idaho,Bear Lake County,2010b,5986,2972,3014,410,203,207,4533,2250,2283,4350,2161,2189,1104,525,579,142,56,86,40.5,40,41
16,7,Idaho,Bear Lake County,2010,5969,2963,3006,421,212,209,4509,2233,2276,4325,2144,2181,1100,524,576,143,55,88,40.299999,39.799999,41
16,7,Idaho,Bear Lake County,2011,5956,2960,2996,407,206,201,4495,2220,2275,4311,2129,2182,1100,524,576,147,61,86,40.200001,39.299999,41
16,7,Idaho,Bear Lake County,2012,5892,2928,2964,399,209,190,4459,2203,2256,4274,2113,2161,1138,542,596,149,64,85,39.900002,39.099998,40.799999
16,7,Idaho,Bear Lake County,2013,5948,2956,2992,426,213,213,4502,2238,2264,4292,2136,2156,1141,549,592,133,56,77,39,38.599998,39.5
16,7,Idaho,Bear Lake County,2014,5926,2941,2985,430,217,213,4487,2230,2257,4289,2133,2156,1149,555,594,138,57,81,39.099998,38.700001,39.400002
16,7,Idaho,Bear Lake County,2015,5879,2906,2973,412,203,209,4467,2204,2263,4273,2116,2157,1172,567,605,128,55,73,39.400002,38.700001,40
16,7,Idaho,Bear Lake County,2016,5927,2944,2983,411,218,193,4527,2251,2276,4328,2151,2177,1207,582,625,128,51,77,39.099998,38.200001,40
16,7,Idaho,Bear Lake County,2017,6023,2986,3037,419,219,200,4576,2253,2323,4387,2159,2228,1235,590,645,134,49,85,39.299999,38.299999,40.200001
16,7,Idaho,Bear Lake County,2018,6044,3009,3035,404,215,189,4615,2292,2323,4429,2201,2228,1255,601,654,145,68,77,39.900002,39,40.799999
16,7,Idaho,Bear Lake County,2019,6125,3069,3056,420,236,184,4687,2333,2354,4478,2226,2252,1265,607,658,149,71,78,39.700001,38.799999,40.900002
16,9,Idaho,Benewah County,2010c,9285,4732,4553,602,313,289,7366,3720,3646,7084,3574,3510,1699,869,830,163,60,103,44.799999,44.5,45
16,9,Idaho,Benewah County,2010b,9283,4731,4552,602,313,289,7364,3719,3645,7082,3573,3509,1697,868,829,163,60,103,44.799999,44.5,45
16,9,Idaho,Benewah County,2010,9290,4727,4563,602,311,291,7371,3720,3651,7093,3578,3515,1716,877,839,166,61,105,44.900002,44.599998,45.099998
16,9,Idaho,Benewah County,2011,9173,4660,4513,566,296,270,7296,3687,3609,7036,3546,3490,1730,893,837,155,54,101,45.299999,45.099998,45.5
16,9,Idaho,Benewah County,2012,9126,4622,4504,553,267,286,7305,3702,3603,7048,3556,3492,1804,925,879,165,61,104,45.799999,45.700001,45.900002
16,9,Idaho,Benewah County,2013,9030,4560,4470,541,246,295,7267,3682,3585,7027,3548,3479,1873,949,924,174,68,106,46.299999,46.400002,46.200001
16,9,Idaho,Benewah County,2014,9032,4589,4443,556,265,291,7250,3697,3553,7034,3573,3461,1894,971,923,163,72,91,46.299999,46.299999,46.299999
16,9,Idaho,Benewah County,2015,8996,4573,4423,564,280,284,7212,3656,3556,6988,3539,3449,1921,979,942,148,67,81,46.299999,46,46.599998
16,9,Idaho,Benewah County,2016,9021,4565,4456,554,272,282,7192,3638,3554,6964,3527,3437,1971,1000,971,153,74,79,46.299999,46.200001,46.299999
16,9,Idaho,Benewah County,2017,9157,4668,4489,530,277,253,7297,3693,3604,7059,3579,3480,1996,1017,979,162,83,79,45.900002,45.599998,46.200001
16,9,Idaho,Benewah County,2018,9218,4722,4496,520,281,239,7382,3755,3627,7133,3632,3501,2064,1069,995,159,82,77,46.200001,45.599998,46.700001
16,9,Idaho,Benewah County,2019,9298,4775,4523,503,264,239,7480,3813,3667,7245,3691,3554,2118,1098,1020,160,78,82,46.400002,45.599998,47.099998
16,11,Idaho,Bingham County,2010c,45607,22885,22722,4403,2263,2140,32172,15937,16235,30559,15129,15430,5214,2436,2778,603,228,375,31.799999,31,32.599998
16,11,Idaho,Bingham County,2010b,45605,22884,22721,4403,2263,2140,32170,15936,16234,30557,15128,15429,5214,2436,2778,603,228,375,31.799999,31,32.5
16,11,Idaho,Bingham County,2010,45765,22978,22787,4416,2277,2139,32268,15988,16280,30667,15188,15479,5247,2455,2792,597,226,371,31.700001,31,32.5
16,11,Idaho,Bingham County,2011,45893,23032,22861,4271,2218,2053,32446,16087,16359,30893,15288,15605,5344,2507,2837,607,236,371,31.9,31.1,32.599998
16,11,Idaho,Bingham County,2012,45510,22837,22673,4037,2083,1954,32327,16052,16275,30801,15250,15551,5523,2600,2923,612,237,375,32.400002,31.799999,33.099998
16,11,Idaho,Bingham County,2013,45423,22813,22610,3903,1990,1913,32450,16133,16317,30935,15337,15598,5716,2713,3003,655,255,400,32.799999,32.200001,33.400002
16,11,Idaho,Bingham County,2014,45214,22706,22508,3708,1912,1796,32420,16103,16317,30882,15296,15586,5861,2805,3056,683,278,405,33.200001,32.5,33.799999
16,11,Idaho,Bingham County,2015,45057,22591,22466,3625,1847,1778,32407,16125,16282,30887,15317,15570,5973,2866,3107,705,292,413,33.400002,32.900002,33.900002
16,11,Idaho,Bingham County,2016,45315,22674,22641,3614,1805,1809,32711,16270,16441,31134,15447,15687,6103,2927,3176,713,298,415,33.5,33,33.900002
16,11,Idaho,Bingham County,2017,45884,22908,22976,3607,1784,1823,33259,16547,16712,31630,15708,15922,6271,2997,3274,722,296,426,33.700001,33.200001,34.099998
16,11,Idaho,Bingham County,2018,46129,23017,23112,3407,1684,1723,33611,16740,16871,31950,15855,16095,6527,3119,3408,730,300,430,34,33.599998,34.400002
16,11,Idaho,Bingham County,2019,46811,23314,23497,3355,1664,1691,34176,16989,17187,32589,16164,16425,6788,3238,3550,712,292,420,34.200001,33.700001,34.599998
16,13,Idaho,Blaine County,2010c,21376,10886,10490,1414,719,695,16741,8536,8205,16173,8232,7941,2476,1301,1175,186,82,104,40.400002,40,40.799999
16,13,Idaho,Blaine County,2010b,21377,10886,10491,1414,719,695,16742,8536,8206,16174,8232,7942,2477,1301,1176,186,82,104,40.400002,40,40.799999
16,13,Idaho,Blaine County,2010,21295,10833,10462,1390,710,680,16702,8505,8197,16129,8202,7927,2513,1317,1196,186,83,103,40.599998,40.200001,41
16,13,Idaho,Blaine County,2011,21083,10731,10352,1293,667,626,16603,8427,8176,16028,8140,7888,2677,1383,1294,189,90,99,41.099998,40.700001,41.5
16,13,Idaho,Blaine County,2012,21127,10753,10374,1238,628,610,16653,8457,8196,16138,8196,7942,2955,1520,1435,204,94,110,41.5,41.099998,42
16,13,Idaho,Blaine County,2013,21325,10863,10462,1225,643,582,16822,8537,8285,16311,8280,8031,3175,1629,1546,215,99,116,42,41.099998,42.599998
16,13,Idaho,Blaine County,2014,21455,10871,10584,1183,600,583,16978,8583,8395,16462,8333,8129,3393,1723,1670,243,112,131,42.200001,41.5,42.799999
16,13,Idaho,Blaine County,2015,21636,10979,10657,1195,615,580,17128,8670,8458,16576,8388,8188,3627,1809,1818,264,117,147,42.299999,41.299999,43.200001
16,13,Idaho,Blaine County,2016,22062,11145,10917,1206,597,609,17594,8852,8742,16995,8545,8450,3890,1943,1947,276,124,152,42.5,41.400002,43.599998
16,13,Idaho,Blaine County,2017,22373,11285,11088,1157,575,582,17997,9017,8980,17361,8706,8655,4140,2054,2086,309,139,170,43.099998,41.799999,44.099998
16,13,Idaho,Blaine County,2018,22771,11445,11326,1121,544,577,18433,9192,9241,17771,8869,8902,4430,2197,2233,337,152,185,43.5,42.200001,44.700001
16,13,Idaho,Blaine County,2019,23021,11566,11455,1099,542,557,18810,9370,9440,18163,9046,9117,4683,2326,2357,356,160,196,44.200001,42.900002,45.299999
16,15,Idaho,Boise County,2010c,7028,3671,3357,310,173,137,5710,2988,2722,5519,2891,2628,1118,628,490,62,31,31,48.400002,48.599998,48.099998
16,15,Idaho,Boise County,2010b,7027,3671,3356,310,173,137,5709,2988,2721,5518,2891,2627,1118,628,490,62,31,31,48.400002,48.599998,48.099998
16,15,Idaho,Boise County,2010,7005,3655,3350,301,170,131,5709,2979,2730,5522,2887,2635,1132,635,497,62,31,31,48.599998,48.700001,48.400002
16,15,Idaho,Boise County,2011,6986,3611,3375,272,147,125,5725,2959,2766,5547,2882,2665,1201,674,527,69,32,37,49.200001,49.700001,48.700001
16,15,Idaho,Boise County,2012,6790,3501,3289,228,128,100,5628,2888,2740,5436,2798,2638,1304,735,569,71,34,37,50.200001,50.700001,49.599998
16,15,Idaho,Boise County,2013,6720,3456,3264,211,123,88,5619,2870,2749,5428,2777,2651,1391,778,613,71,33,38,51.299999,51.799999,50.700001
16,15,Idaho,Boise County,2014,6779,3507,3272,220,119,101,5730,2953,2777,5522,2839,2683,1462,818,644,81,39,42,51.799999,52.400002,51.200001
16,15,Idaho,Boise County,2015,6963,3587,3376,222,125,97,5920,3024,2896,5711,2909,2802,1602,889,713,88,35,53,52.5,53.099998,51.799999
16,15,Idaho,Boise County,2016,7095,3691,3404,241,139,102,6053,3115,2938,5871,3026,2845,1714,961,753,97,46,51,52.900002,53.299999,52.5
16,15,Idaho,Boise County,2017,7347,3807,3540,274,150,124,6261,3220,3041,6067,3115,2952,1798,1003,795,107,51,56,52.900002,53.700001,52.200001
16,15,Idaho,Boise County,2018,7655,3979,3676,276,153,123,6547,3366,3181,6364,3266,3098,1931,1073,858,123,59,64,52.900002,53.599998,52.400002
16,15,Idaho,Boise County,2019,7831,4076,3755,279,148,131,6745,3493,3252,6551,3384,3167,2058,1151,907,132,67,65,53.299999,54.099998,52.700001
16,17,Idaho,Bonner County,2010c,40877,20592,20285,2142,1106,1036,33106,16576,16530,32027,16043,15984,7009,3477,3532,746,266,480,45.799999,45.200001,46.299999
16,17,Idaho,Bonner County,2010b,40877,20592,20285,2142,1106,1036,33106,16576,16530,32027,16043,15984,7009,3477,3532,746,266,480,45.799999,45.200001,46.299999
16,17,Idaho,Bonner County,2010,40902,20597,20305,2134,1114,1020,33130,16579,16551,32062,16049,16013,7066,3504,3562,749,267,482,45.900002,45.299999,46.400002
16,17,Idaho,Bonner County,2011,40782,20479,20303,2066,1072,994,33184,16602,16582,32129,16073,16056,7350,3673,3677,774,292,482,46.5,46,46.900002
16,17,Idaho,Bonner County,2012,40347,20243,20104,2014,1038,976,33002,16486,16516,31926,15928,15998,7738,3889,3849,802,288,514,47.200001,46.700001,47.599998
16,17,Idaho,Bonner County,2013,40525,20255,20270,1962,967,995,33288,16557,16731,32193,16024,16169,8205,4122,4083,813,296,517,47.5,47.099998,48
16,17,Idaho,Bonner County,2014,41289,20635,20654,2042,1018,1024,33895,16853,17042,32836,16341,16495,8723,4399,4324,833,310,523,47.5,47.099998,47.799999
16,17,Idaho,Bonner County,2015,41600,20779,20821,2055,1013,1042,34275,17084,17191,33216,16556,16660,9210,4664,4546,872,330,542,47.900002,47.700001,48.200001
16,17,Idaho,Bonner County,2016,42357,21098,21259,2114,1007,1107,34971,17408,17563,33914,16873,17041,9756,4937,4819,873,334,539,48.099998,48,48.299999
16,17,Idaho,Bonner County,2017,43654,21756,21898,2234,1048,1186,36010,17910,18100,34916,17394,17522,10310,5229,5081,907,359,548,48.099998,47.900002,48.299999
16,17,Idaho,Bonner County,2018,44705,22260,22445,2246,1071,1175,37008,18394,18614,35873,17868,18005,10958,5565,5393,983,414,569,48.299999,48,48.5
16,17,Idaho,Bonner County,2019,45739,22846,22893,2287,1107,1180,37860,18871,18989,36726,18305,18421,11614,5875,5739,1010,430,580,48.5,48.299999,48.799999
16,19,Idaho,Bonneville County,2010c,104234,51996,52238,9975,5169,4806,74745,36828,37917,71440,35107,36333,11343,5022,6321,1583,568,1015,31.700001,31,32.400002
16,19,Idaho,Bonneville County,2010b,104294,52015,52279,9975,5169,4806,74809,36850,37959,71504,35129,36375,11404,5041,6363,1611,576,1035,31.700001,31,32.5
