state,county,stname,ctyname,year,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age2544_tot,age2544_male,age2544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,median_age_tot,median_age_male,median_age_fem
16,5,Idaho,Bannock County,2011,83641,41618,42023,6764,3459,3305,11528,5930,5598,4641,2401,2240,9675,4763,4912,22319,11332,10987,19255,9426,9829,9459,4307,5152,31.799999,31.1,32.599998
16,5,Idaho,Bannock County,2012,83755,41754,42001,6581,3373,3208,11525,5939,5586,4674,2405,2269,9584,4721,4863,22459,11464,10995,19103,9357,9746,9829,4495,5334,32.099998,31.299999,32.900002
16,5,Idaho,Bannock County,2013,83455,41571,41884,6390,3256,3134,11410,5872,5538,4729,2441,2288,9187,4542,4645,22582,11492,11090,18947,9301,9646,10210,4667,5543,32.599998,31.799999,33.400002
16,5,Idaho,Bannock County,2014,83536,41611,41925,6345,3190,3155,11326,5843,5483,4813,2523,2290,8949,4497,4452,22795,11529,11266,18732,9166,9566,10576,4863,5713,32.799999,32,33.799999
16,5,Idaho,Bannock County,2015,84184,41946,42238,6399,3254,3145,11258,5771,5487,4914,2525,2389,8793,4540,4253,23137,11653,11484,18740,9137,9603,10943,5066,5877,33.099998,32.099998,34.099998
16,5,Idaho,Bannock County,2016,84676,42136,42540,6201,3157,3044,11326,5765,5561,4980,2536,2444,8638,4505,4133,23316,11728,11588,18846,9180,9666,11369,5265,6104,33.599998,32.599998,34.5
16,5,Idaho,Bannock County,2017,85482,42531,42951,6188,3094,3094,11329,5775,5554,5045,2582,2463,8586,4468,4118,23670,11939,11731,18819,9151,9668,11845,5522,6323,33.900002,33,34.799999
16,5,Idaho,Bannock County,2018,86674,43034,43640,6131,3045,3086,11403,5821,5582,5087,2588,2499,8888,4625,4263,23995,12050,11945,18849,9141,9708,12321,5764,6557,34.099998,33.400002,35
16,5,Idaho,Bannock County,2019,87808,43650,44158,6102,3069,3033,11431,5838,5593,5171,2633,2538,9034,4686,4348,24312,12207,12105,18864,9155,9709,12894,6062,6832,34.5,33.700001,35.400002
16,7,Idaho,Bear Lake County,2010c,5986,2972,3014,410,203,207,857,427,430,369,181,188,377,181,196,1237,633,604,1632,822,810,1104,525,579,40.5,40,41
16,7,Idaho,Bear Lake County,2010b,5986,2972,3014,410,203,207,857,427,430,369,181,188,377,181,196,1237,633,604,1632,822,810,1104,525,579,40.5,40,41
16,7,Idaho,Bear Lake County,2010,5969,2963,3006,421,212,209,851,427,424,372,180,192,376,181,195,1232,630,602,1617,809,808,1100,524,576,40.299999,39.799999,41
16,7,Idaho,Bear Lake County,2011,5956,2960,2996,407,206,201,839,432,407,399,193,206,389,185,204,1229,629,600,1593,791,802,1100,524,576,40.200001,39.299999,41
16,7,Idaho,Bear Lake County,2012,5892,2928,2964,399,209,190,826,411,415,393,195,198,407,202,205,1221,625,596,1508,744,764,1138,542,596,39.900002,39.099998,40.799999
16,7,Idaho,Bear Lake County,2013,5948,2956,2992,426,213,213,826,414,412,404,193,211,420,217,203,1239,633,606,1492,737,755,1141,549,592,39,38.599998,39.5
16,7,Idaho,Bear Lake County,2014,5926,2941,2985,430,217,213,813,395,418,394,196,198,430,225,205,1255,630,625,1455,723,732,1149,555,594,39.099998,38.700001,39.400002
16,7,Idaho,Bear Lake County,2015,5879,2906,2973,412,203,209,814,404,410,380,183,197,423,220,203,1244,622,622,1434,707,727,1172,567,605,39.400002,38.700001,40
16,7,Idaho,Bear Lake County,2016,5927,2944,2983,411,218,193,810,385,425,378,190,188,435,223,212,1298,660,638,1388,686,702,1207,582,625,39.099998,38.200001,40
16,7,Idaho,Bear Lake County,2017,6023,2986,3037,419,219,200,816,398,418,401,210,191,422,207,215,1343,679,664,1387,683,704,1235,590,645,39.299999,38.299999,40.200001
16,7,Idaho,Bear Lake County,2018,6044,3009,3035,404,215,189,826,396,430,385,197,188,429,214,215,1314,668,646,1431,718,713,1255,601,654,39.900002,39,40.799999
16,7,Idaho,Bear Lake County,2019,6125,3069,3056,420,236,184,838,407,431,389,200,189,419,207,212,1355,691,664,1439,721,718,1265,607,658,39.700001,38.799999,40.900002
16,9,Idaho,Benewah County,2010c,9285,4732,4553,602,313,289,1055,546,509,544,299,245,617,332,285,1856,907,949,2912,1466,1446,1699,869,830,44.799999,44.5,45
16,9,Idaho,Benewah County,2010b,9283,4731,4552,602,313,289,1055,546,509,544,299,245,617,332,285,1856,907,949,2912,1466,1446,1697,868,829,44.799999,44.5,45
16,9,Idaho,Benewah County,2010,9290,4727,4563,602,311,291,1058,547,511,537,291,246,622,336,286,1842,902,940,2913,1463,1450,1716,877,839,44.900002,44.599998,45.099998
16,9,Idaho,Benewah County,2011,9173,4660,4513,566,296,270,1050,534,516,521,284,237,637,341,296,1782,872,910,2887,1440,1447,1730,893,837,45.299999,45.099998,45.5
16,9,Idaho,Benewah County,2012,9126,4622,4504,553,267,286,1028,518,510,497,281,216,640,342,298,1765,861,904,2839,1428,1411,1804,925,879,45.799999,45.700001,45.900002
16,9,Idaho,Benewah County,2013,9030,4560,4470,541,246,295,991,507,484,471,259,212,637,335,302,1734,856,878,2783,1408,1375,1873,949,924,46.299999,46.400002,46.200001
16,9,Idaho,Benewah County,2014,9032,4589,4443,556,265,291,1004,518,486,438,233,205,641,341,300,1750,882,868,2749,1379,1370,1894,971,923,46.299999,46.299999,46.299999
16,9,Idaho,Benewah County,2015,8996,4573,4423,564,280,284,998,526,472,446,228,218,589,324,265,1775,870,905,2703,1366,1337,1921,979,942,46.299999,46,46.599998
16,9,Idaho,Benewah County,2016,9021,4565,4456,554,272,282,1042,542,500,461,224,237,542,301,241,1786,884,902,2665,1342,1323,1971,1000,971,46.299999,46.200001,46.299999
16,9,Idaho,Benewah County,2017,9157,4668,4489,530,277,253,1099,580,519,469,232,237,576,311,265,1814,901,913,2673,1350,1323,1996,1017,979,45.900002,45.599998,46.200001
16,9,Idaho,Benewah County,2018,9218,4722,4496,520,281,239,1088,563,525,477,246,231,586,315,271,1834,933,901,2649,1315,1334,2064,1069,995,46.200001,45.599998,46.700001
16,9,Idaho,Benewah County,2019,9298,4775,4523,503,264,239,1078,565,513,472,255,217,605,324,281,1849,948,901,2673,1321,1352,2118,1098,1020,46.400002,45.599998,47.099998
16,11,Idaho,Bingham County,2010c,45607,22885,22722,4403,2263,2140,7469,3871,3598,3176,1622,1554,3827,1979,1848,10924,5392,5532,10594,5322,5272,5214,2436,2778,31.799999,31,32.599998
16,11,Idaho,Bingham County,2010b,45605,22884,22721,4403,2263,2140,7469,3871,3598,3176,1622,1554,3827,1979,1848,10924,5392,5532,10592,5321,5271,5214,2436,2778,31.799999,31,32.5
16,11,Idaho,Bingham County,2010,45765,22978,22787,4416,2277,2139,7521,3899,3622,3161,1614,1547,3853,1995,1858,10967,5410,5557,10600,5328,5272,5247,2455,2792,31.700001,31,32.5
16,11,Idaho,Bingham County,2011,45893,23032,22861,4271,2218,2053,7615,3911,3704,3114,1615,1499,3926,2014,1912,11029,5446,5583,10594,5321,5273,5344,2507,2837,31.9,31.1,32.599998
16,11,Idaho,Bingham County,2012,45510,22837,22673,4037,2083,1954,7557,3875,3682,3115,1629,1486,3864,1996,1868,10848,5363,5485,10566,5291,5275,5523,2600,2923,32.400002,31.799999,33.099998
16,11,Idaho,Bingham County,2013,45423,22813,22610,3903,1990,1913,7507,3872,3635,3078,1614,1464,3923,2028,1895,10834,5375,5459,10462,5221,5241,5716,2713,3003,32.799999,32.200001,33.400002
16,11,Idaho,Bingham County,2014,45214,22706,22508,3708,1912,1796,7530,3889,3641,3094,1609,1485,3921,2036,1885,10681,5278,5403,10419,5177,5242,5861,2805,3056,33.200001,32.5,33.799999
16,11,Idaho,Bingham County,2015,45057,22591,22466,3625,1847,1778,7399,3781,3618,3146,1646,1500,3874,2010,1864,10665,5283,5382,10375,5158,5217,5973,2866,3107,33.400002,32.900002,33.900002
16,11,Idaho,Bingham County,2016,45315,22674,22641,3614,1805,1809,7370,3748,3622,3197,1674,1523,3923,2050,1873,10771,5325,5446,10337,5145,5192,6103,2927,3176,33.5,33,33.900002
16,11,Idaho,Bingham County,2017,45884,22908,22976,3607,1784,1823,7444,3760,3684,3203,1656,1547,3927,2077,1850,11128,5522,5606,10304,5112,5192,6271,2997,3274,33.700001,33.200001,34.099998
16,11,Idaho,Bingham County,2018,46129,23017,23112,3407,1684,1723,7535,3807,3728,3237,1671,1566,3894,2047,1847,11324,5590,5734,10205,5099,5106,6527,3119,3408,34,33.599998,34.400002
16,11,Idaho,Bingham County,2019,46811,23314,23497,3355,1664,1691,7537,3815,3722,3330,1671,1659,4023,2142,1881,11542,5704,5838,10236,5080,5156,6788,3238,3550,34.200001,33.700001,34.599998
16,13,Idaho,Blaine County,2010c,21376,10886,10490,1414,719,695,2675,1364,1311,1114,571,543,1261,675,586,5622,2899,2723,6814,3357,3457,2476,1301,1175,40.400002,40,40.799999
16,13,Idaho,Blaine County,2010b,21377,10886,10491,1414,719,695,2675,1364,1311,1114,571,543,1261,675,586,5622,2899,2723,6814,3357,3457,2477,1301,1176,40.400002,40,40.799999
16,13,Idaho,Blaine County,2010,21295,10833,10462,1390,710,680,2669,1358,1311,1107,563,544,1266,675,591,5559,2866,2693,6791,3344,3447,2513,1317,1196,40.599998,40.200001,41
16,13,Idaho,Blaine County,2011,21083,10731,10352,1293,667,626,2670,1384,1286,1092,540,552,1303,692,611,5384,2778,2606,6664,3287,3377,2677,1383,1294,41.099998,40.700001,41.5
16,13,Idaho,Blaine County,2012,21127,10753,10374,1238,628,610,2709,1413,1296,1042,516,526,1320,700,620,5323,2761,2562,6540,3215,3325,2955,1520,1435,41.5,41.099998,42
16,13,Idaho,Blaine County,2013,21325,10863,10462,1225,643,582,2731,1403,1328,1058,537,521,1375,733,642,5221,2705,2516,6540,3213,3327,3175,1629,1546,42,41.099998,42.599998
16,13,Idaho,Blaine County,2014,21455,10871,10584,1183,600,583,2697,1385,1312,1113,553,560,1420,743,677,5181,2671,2510,6468,3196,3272,3393,1723,1670,42.200001,41.5,42.799999
16,13,Idaho,Blaine County,2015,21636,10979,10657,1195,615,580,2685,1392,1293,1180,584,596,1442,757,685,5095,2642,2453,6412,3180,3232,3627,1809,1818,42.299999,41.299999,43.200001
16,13,Idaho,Blaine County,2016,22062,11145,10917,1206,597,609,2621,1389,1232,1240,614,626,1521,802,719,5114,2647,2467,6470,3153,3317,3890,1943,1947,42.5,41.400002,43.599998
16,13,Idaho,Blaine County,2017,22373,11285,11088,1157,575,582,2580,1375,1205,1275,629,646,1539,820,719,5198,2683,2515,6484,3149,3335,4140,2054,2086,43.099998,41.799999,44.099998
16,13,Idaho,Blaine County,2018,22771,11445,11326,1121,544,577,2575,1371,1204,1304,661,643,1565,815,750,5278,2730,2548,6498,3127,3371,4430,2197,2233,43.5,42.200001,44.700001
16,13,Idaho,Blaine County,2019,23021,11566,11455,1099,542,557,2463,1288,1175,1296,690,606,1603,818,785,5311,2760,2551,6566,3142,3424,4683,2326,2357,44.200001,42.900002,45.299999
16,15,Idaho,Boise County,2010c,7028,3671,3357,310,173,137,811,414,397,388,193,195,351,200,151,1300,669,631,2750,1394,1356,1118,628,490,48.400002,48.599998,48.099998
16,15,Idaho,Boise County,2010b,7027,3671,3356,310,173,137,811,414,397,388,193,195,351,200,151,1300,669,631,2749,1394,1355,1118,628,490,48.400002,48.599998,48.099998
16,15,Idaho,Boise County,2010,7005,3655,3350,301,170,131,798,409,389,384,189,195,359,205,154,1290,665,625,2741,1382,1359,1132,635,497,48.599998,48.700001,48.400002
16,15,Idaho,Boise County,2011,6986,3611,3375,272,147,125,780,400,380,387,182,205,358,191,167,1271,655,616,2717,1362,1355,1201,674,527,49.200001,49.700001,48.700001
16,15,Idaho,Boise County,2012,6790,3501,3289,228,128,100,718,369,349,408,206,202,358,180,178,1177,595,582,2597,1288,1309,1304,735,569,50.200001,50.700001,49.599998
