sfips,returns_out,indiv_out,agi_out,year,returns_in,indiv_in,agi_in
18,45788,83576,2323384,2015,41152,78653,1938746
18,62193,116111,3566881,2016,57008,111854,3016786
18,82625,155651,5010928,2017,80413,158862,4565997
18,64239,117657,3948752,2018,64308,124017,3572668
18,62559,112345,3966063,2019,61610,116550,3621382
18,65636,120337,4342115,2020,66953,128860,4128331
18,66558,116762,4464467,2021,69789,127791,4300273
18,69968,119054,5387757,2022,69545,125380,4836421
19,31423,58970,1584455,2014,28849,56312,1353778
19,22843,40708,1161428,2015,20961,39240,923049
19,32960,60856,1846401,2016,29537,57748,1587058
19,44068,82395,2555136,2017,39937,78071,2169394
19,33253,60379,2080587,2018,30616,57912,1624649
19,32931,59037,2158965,2019,29009,53682,1643145
19,34836,63565,2169313,2020,32261,60479,1885572
19,36426,62877,2178771,2021,35982,61754,1919949
19,37932,63234,2613308,2022,32991,57841,2098743
20,42343,86832,2139945,2014,37035,75755,1965765
20,30020,57342,1768748,2015,26943,52381,1276087
20,44302,89248,2473014,2016,36251,73832,2064386
20,57323,116697,3459989,2017,47834,97546,2799434
20,43246,83980,2626318,2018,37693,74131,2090868
20,41787,79871,2591083,2019,36049,69430,2201551
20,42835,83695,2731390,2020,39080,77474,2443007
20,42800,78916,2847990,2021,40110,75145,2620270
20,43740,78491,3323544,2022,39933,73639,2717282
21,44907,91819,2198827,2014,41691,84050,1899066
21,33426,64231,1583382,2015,31361,60365,1356766
21,43751,86762,2423573,2016,41887,82814,2183927
21,57596,114708,3324958,2017,56808,114897,3281108
21,44717,85337,2632240,2018,44226,85581,2329996
21,43987,82499,2528891,2019,42488,81439,2328958
21,45120,86740,3004550,2020,46985,92284,2732981
21,46417,84548,2944517,2021,48969,90972,2827235
21,46440,82156,3193824,2022,49395,90639,3237357
22,44002,88835,2256262,2014,40886,80828,1785806
22,33726,64912,1847289,2015,32073,61174,1536488
22,43508,86086,2294130,2016,38252,75348,2067671
22,57648,116730,3148055,2017,44109,88137,2426609
22,45333,89229,2492654,2018,35783,69460,1948619
22,43560,84709,2523172,2019,34219,65758,2025789
22,46303,91429,2697296,2020,36588,70802,2129448
22,49749,93697,2914338,2021,35728,65406,2057085
22,50564,92166,3249365,2022,36175,66002,2374538
23,14310,24140,833992,2014,14740,25568,872697
23,11142,17712,630194,2015,10176,16548,568172
23,14349,23688,833634,2016,15319,26552,978372
23,17632,29978,1029801,2017,22792,39777,1589981
23,14550,23871,937361,2018,17735,29831,1257908
23,14380,23229,929193,2019,17163,28644,1267948
23,14367,24011,947682,2020,20738,35363,1820727
23,14882,24371,1149427,2021,22276,36735,2073930
23,16415,25885,1431619,2022,21557,34893,2135969
24,85387,155632,5897505,2014,82263,152533,4664832
24,68384,120783,4381959,2015,60429,107742,3396285
24,91409,166151,6628779,2016,79113,145156,5049527
24,119421,221113,9124229,2017,105928,195055,7118060
24,92997,164713,7207641,2018,84387,149236,5494855
24,90695,157783,7457355,2019,81170,141867,5631177
24,95748,171381,8326190,2020,85860,151734,6483822
24,96772,165915,8715286,2021,83973,142471,6852224
24,99324,165821,10109194,2022,83502,139260,7396693
25,75295,123903,5445749,2014,64653,104425,4684977
25,56998,89799,4409835,2015,49424,76243,3561556
25,81828,133884,6844341,2016,66581,105995,5425339
25,108721,178094,9090923,2017,88611,142093,7193129
25,86746,137891,7584423,2018,71861,111355,6082734
25,85889,134296,7738005,2019,70985,108210,6287624
25,94318,150084,9519489,2020,73879,112980,6964488
25,98989,154393,11581383,2021,73812,110117,7284191
25,104472,159200,13202799,2022,78146,113586,9331863
26,76962,140941,4245297,2014,61548,116354,3519164
26,56544,97747,3037675,2015,44561,81229,2389588
26,73324,131173,4646237,2016,62369,118993,3922953
26,94410,170687,6236863,2017,88454,168282,5768937
26,74646,130302,5025108,2018,66918,122805,4461490
26,74373,127440,5450449,2019,62767,113621,4323267
26,76541,135840,5567516,2020,69833,129110,5184301
26,77328,130742,6517987,2021,71929,125547,5450853
26,82632,135970,7520946,2022,70955,122955,6152855
27,49797,90312,3486239,2014,44661,81160,2545602
27,36557,62453,2414865,2015,32980,57322,1942918
27,49772,88148,3572305,2016,48009,87019,2919539
27,65011,116006,4706433,2017,68025,125733,4490561
27,50443,87237,3953216,2018,51134,91075,3251139
27,51341,87729,4077241,2019,48392,83132,3162513
27,55621,97980,4742974,2020,49404,86728,3537552
27,58437,98779,5022370,2021,49319,82824,3460310
27,59470,97967,6118640,2022,51183,84507,3928013
28,32801,67275,1379863,2014,28048,58923,1164497
28,25860,51320,1106545,2015,22310,45508,903605
28,30829,62024,1442534,2016,27140,55933,1233726
28,38450,79471,1894034,2017,34597,72134,1742002
28,31594,62900,1482060,2018,27667,56366,1364944
28,30909,61222,1497382,2019,26385,53180,1372759
28,32088,63893,1635501,2020,29285,59822,1581953
28,32498,60937,1617365,2021,30521,58501,1665201
28,32520,59146,1766488,2022,30853,58583,1891628
29,64987,124600,3364024,2014,60301,117185,3055038
29,47571,86755,2448151,2015,44101,81283,2215637
29,64839,122792,4020454,2016,61716,117954,3376089
29,86410,164867,5467662,2017,84856,164445,5133068
29,67203,123735,4130029,2018,65966,122763,3815690
29,65325,118256,4285091,2019,64328,118737,3891500
29,68416,127232,4694136,2020,71531,136303,4504029
29,69596,122638,4864400,2021,73320,133480,4650977
29,71735,123351,5967492,2022,73796,132355,5390193
30,15430,27893,687081,2014,16450,31188,851717
30,11002,19103,539906,2015,12052,21139,673524
30,15024,26885,714665,2016,17199,32025,1030754
30,19600,36065,981353,2017,23785,45157,1533587
30,16147,28796,834803,2018,17858,32445,1144042
30,15723,27450,842202,2019,18130,32972,1329646
30,15990,28559,874434,2020,21503,40835,1926270
30,16341,28181,1040233,2021,23846,43018,2154087
30,17594,30024,1299637,2022,23032,40381,2360584
31,21458,42079,1155428,2014,19702,39580,924075
31,15645,28652,835985,2015,14468,27629,642369
31,21937,42779,1289309,2016,20570,40732,1081639
31,30097,59552,1882774,2017,26771,53592,1467541
31,22619,43393,1415176,2018,20276,39433,1123560
31,22360,42106,1336742,2019,19617,37503,1099868
31,23448,45070,1733371,2020,21135,40856,1235508
31,23761,43236,1533502,2021,21511,39336,1327535
31,23609,41550,1750489,2022,22199,39689,1452655
32,48667,93798,2023228,2014,57846,109575,3432679
32,36257,66713,1926343,2015,46715,86378,3357675
32,46832,88593,2778791,2016,61034,115386,3710294
32,60652,115730,3517690,2017,83535,157935,5349057
32,49261,91815,2911634,2018,69943,129151,5215317
32,49864,91893,3196104,2019,68517,123131,5235000
32,55695,103702,3536951,2020,72172,132042,6159866
32,61673,109167,4235031,2021,73819,128141,8852159
32,62283,109204,5480947,2022,73133,123762,8552930
33,21289,35446,1324093,2014,21331,36456,1527838
33,16350,25366,1318416,2015,15851,25717,1119097
33,21903,35981,1510579,2016,22980,39281,1743579
33,28528,47901,1979085,2017,32388,55998,2610046
33,23302,37804,1915624,2018,25407,42287,2044313
33,22340,35879,1695415,2019,24668,40410,2022704
33,23070,37995,1762066,2020,28413,48010,2724886
33,23425,37585,1919429,2021,28960,47300,3387643
33,24369,38428,2464183,2022,28108,44796,3351029
34,106155,193002,9110867,2014,81033,146439,5992121
34,85854,149229,7362259,2015,64439,114639,4904929
34,109569,197139,11009181,2016,82629,149744,7479871
34,139645,253080,12647666,2017,114088,206049,9803076
34,115238,200889,11485320,2018,95587,168001,8309170
34,112433,192514,11500005,2019,95457,165661,8397373
34,119202,209772,12802299,2020,106413,186466,10470534
34,123069,210807,15041368,2021,110124,184738,11228345
34,131148,218986,17632533,2022,109794,180916,12351271
35,31759,64573,1608273,2014,27447,54759,1373650
35,24125,47287,1193139,2015,21097,41410,1028528
35,30485,61960,1693462,2016,27644,54267,1514452
35,38374,77608,2209582,2017,35993,70547,2142066
35,30085,58311,1713885,2018,29520,56410,1707190
35,28727,55310,1814459,2019,29584,55454,1865474
35,30168,58924,1899717,2020,32057,60694,2336755
35,31745,58883,1991567,2021,31392,55627,2091137
35,31848,57097,2499594,2022,31829,55969,2381268
36,210810,371676,16110423,2014,150351,243434,10642278
36,167990,288250,13755056,2015,123949,194081,9280577
36,226806,397463,20021938,2016,146432,229862,11271764
36,293464,517304,24857189,2017,183555,290540,13659743
36,234188,402571,22247795,2018,157357,243091,12613445
36,229581,389511,22046022,2019,155617,235541,13262323
36,279961,479826,31945432,2020,149292,231439,12406454
36,294479,489117,38185548,2021,152122,226901,13663740
36,289146,480158,36339557,2022,178701,255377,22164959
37,116638,237070,6109681,2014,129519,258281,7387982
37,85926,162379,4405975,2015,96732,183169,5477905
37,114951,227662,6747835,2016,140377,275974,8917920
37,154128,309313,9356331,2017,192814,384645,13143880
37,119802,228607,7269927,2018,149624,285585,10248402
37,119098,223631,7472233,2019,144413,272467,10252317
37,123555,237442,8559375,2020,160058,306509,12216898
37,127683,233393,8756280,2021,168884,310915,13323767
37,131590,232918,10607421,2022,175595,316626,15245340
38,14946,27940,843060,2014,17766,33569,856442
38,11808,21171,636410,2015,15060,27024,738567
38,18957,35286,1014461,2016,14730,27469,733174
38,22665,42948,1241327,2017,16715,32075,798385
38,15613,28840,872729,2018,13593,25205,672602
38,14781,27109,844599,2019,13365,24676,702102
38,16131,30903,992122,2020,13442,25479,729969
38,16049,29221,943404,2021,12920,23110,698488
38,14752,26023,1004384,2022,13391,23467,755925
39,92634,170745,5416170,2014,79729,152071,4281647
39,68390,119437,4123347,2015,57867,105210,2865701
39,94755,172699,6552469,2016,81036,152942,4785582
39,123802,227845,8503836,2017,112925,217391,6922901
39,94896,168010,6584721,2018,87444,161695,5339938
39,93090,162721,6881401,2019,83425,151702,5257476
39,96604,173459,7354925,2020,89520,165521,5916226
39,98593,169106,8045212,2021,92429,161361,5974605
39,102248,168736,9466108,2022,94292,162932,7334993
40,40104,82573,2002649,2014,40794,85980,1931730
40,30442,59772,1570345,2015,30730,62297,1410301
40,40536,83223,2193626,2016,38105,79412,1972977
40,52581,109304,2991552,2017,47297,100482,2524428
40,40000,80505,2182529,2018,38978,80719,2080310
40,37474,74430,2175240,2019,38926,78454,2137360
40,38695,78295,2366261,2020,44459,92970,2437720
40,39081,73786,2194005,2021,48388,95461,2704927
40,39518,73482,2525750,2022,48344,94664,3016285
41,46702,85360,2388315,2014,57751,104220,3074675
41,35208,62183,1834549,2015,44650,76830,2289346
41,47496,85784,2647181,2016,69021,121561,4124413
41,68405,124159,4177631,2017,89910,158586,5727099
41,55606,96843,3586410,2018,68101,115579,4361538
41,55470,94548,3862348,2019,65833,109744,4644466
41,60054,105083,4398726,2020,69595,116793,4999612
41,68631,118473,5151965,2021,67850,109053,5029643
41,68617,115122,6356619,2022,68763,108226,5823053
42,115170,204494,7435852,2014,96817,176413,5922541
42,86354,146026,5507902,2015,73249,128417,4490608
42,119061,210490,9246684,2016,98675,177230,6530380
42,152885,271984,11183396,2017,138676,252005,9618590
42,119494,205965,8904599,2018,110730,195868,7495508
42,117430,200156,9541611,2019,107858,187186,7831061
42,122783,213890,10131093,2020,119327,208870,8927000
42,130419,219002,11466890,2021,121512,204574,9599445
