county,year,units
Elmore County,2014,12335
Elmore County,2015,12390
Elmore County,2016,12441
Elmore County,2017,12497
Elmore County,2018,12536
Elmore County,2019,12577
Franklin County,2010,4542
Franklin County,2011,4591
Franklin County,2012,4623
Franklin County,2013,4658
Franklin County,2014,4687
Franklin County,2015,4721
Franklin County,2016,4770
Franklin County,2017,4827
Franklin County,2018,4900
Franklin County,2019,4946
Fremont County,2010,8542
Fremont County,2011,8592
Fremont County,2012,8622
Fremont County,2013,8679
Fremont County,2014,8749
Fremont County,2015,8812
Fremont County,2016,8873
Fremont County,2017,8975
Fremont County,2018,9079
Fremont County,2019,9186
Gem County,2010,7104
Gem County,2011,7116
Gem County,2012,7130
Gem County,2013,7147
Gem County,2014,7180
Gem County,2015,7216
Gem County,2016,7254
Gem County,2017,7350
Gem County,2018,7411
Gem County,2019,7507
Gooding County,2010,6103
Gooding County,2011,6117
Gooding County,2012,6127
Gooding County,2013,6142
Gooding County,2014,6156
Gooding County,2015,6171
Gooding County,2016,6189
Gooding County,2017,6210
Gooding County,2018,6248
Gooding County,2019,6290
Idaho County,2010,8745
Idaho County,2011,8750
Idaho County,2012,8757
Idaho County,2013,8759
Idaho County,2014,8761
Idaho County,2015,8763
Idaho County,2016,8767
Idaho County,2017,8770
Idaho County,2018,8774
Idaho County,2019,8783
Jefferson County,2010,8744
Jefferson County,2011,8808
Jefferson County,2012,8858
Jefferson County,2013,8912
Jefferson County,2014,8988
Jefferson County,2015,9065
Jefferson County,2016,9200
Jefferson County,2017,9366
Jefferson County,2018,9560
Jefferson County,2019,9768
Jerome County,2010,8111
Jerome County,2011,8162
Jerome County,2012,8207
Jerome County,2013,8267
Jerome County,2014,8329
Jerome County,2015,8384
Jerome County,2016,8447
Jerome County,2017,8519
Jerome County,2018,8579
Jerome County,2019,8664
Kootenai County,2010,63375
Kootenai County,2011,63979
Kootenai County,2012,64586
Kootenai County,2013,65439
Kootenai County,2014,66685
Kootenai County,2015,67704
Kootenai County,2016,69079
Kootenai County,2017,70706
Kootenai County,2018,72453
Kootenai County,2019,74624
Latah County,2010,16048
Latah County,2011,16151
Latah County,2012,16238
Latah County,2013,16418
Latah County,2014,16513
Latah County,2015,16645
Latah County,2016,16742
Latah County,2017,16866
Latah County,2018,17170
Latah County,2019,17364
Lemhi County,2010,4732
Lemhi County,2011,4752
Lemhi County,2012,4773
Lemhi County,2013,4785
Lemhi County,2014,4805
Lemhi County,2015,4816
Lemhi County,2016,4840
Lemhi County,2017,4881
Lemhi County,2018,4914
Lemhi County,2019,4948
Lewis County,2010,1884
Lewis County,2011,1884
Lewis County,2012,1886
Lewis County,2013,1891
Lewis County,2014,1896
Lewis County,2015,1906
Lewis County,2016,1914
Lewis County,2017,1935
Lewis County,2018,1963
Lewis County,2019,1991
Lincoln County,2010,1979
Lincoln County,2011,1983
Lincoln County,2012,1985
Lincoln County,2013,1989
Lincoln County,2014,1994
Lincoln County,2015,1998
Lincoln County,2016,2001
Lincoln County,2017,2004
Lincoln County,2018,2009
Lincoln County,2019,2017
Madison County,2010,11326
Madison County,2011,11662
Madison County,2012,12010
Madison County,2013,12176
Madison County,2014,13048
Madison County,2015,13421
Madison County,2016,13690
Madison County,2017,14090
Madison County,2018,14546
Madison County,2019,15366
Minidoka County,2010,7663
Minidoka County,2011,7701
Minidoka County,2012,7754
Minidoka County,2013,7811
Minidoka County,2014,7863
Minidoka County,2015,7890
Minidoka County,2016,7958
Minidoka County,2017,8193
Minidoka County,2018,8446
Minidoka County,2019,8504
Nez Perce County,2010,17450
Nez Perce County,2011,17494
Nez Perce County,2012,17539
Nez Perce County,2013,17550
Nez Perce County,2014,17598
Nez Perce County,2015,17649
Nez Perce County,2016,17753
Nez Perce County,2017,17826
Nez Perce County,2018,17916
Nez Perce County,2019,18004
Oneida County,2010,1909
Oneida County,2011,1927
Oneida County,2012,1937
Oneida County,2013,1946
Oneida County,2014,1953
Oneida County,2015,1970
Oneida County,2016,1987
Oneida County,2017,1994
Oneida County,2018,2008
Oneida County,2019,2019
Owyhee County,2010,4787
Owyhee County,2011,4798
Owyhee County,2012,4813
Owyhee County,2013,4829
Owyhee County,2014,4844
Owyhee County,2015,4861
Owyhee County,2016,4884
Owyhee County,2017,4910
Owyhee County,2018,4948
Owyhee County,2019,4994
Payette County,2010,8952
Payette County,2011,8989
Payette County,2012,9021
Payette County,2013,9068
Payette County,2014,9187
Payette County,2015,9295
Payette County,2016,9339
Payette County,2017,9429
Payette County,2018,9537
Payette County,2019,9620
Power County,2010,2948
Power County,2011,2957
Power County,2012,2966
Power County,2013,2975
Power County,2014,2986
Power County,2015,2995
Power County,2016,2997
Power County,2017,3013
Power County,2018,3022
Power County,2019,3043
Shoshone County,2010,7075
Shoshone County,2011,7076
Shoshone County,2012,7082
Shoshone County,2013,7084
Shoshone County,2014,7094
Shoshone County,2015,7100
Shoshone County,2016,7119
Shoshone County,2017,7131
Shoshone County,2018,7151
Shoshone County,2019,7164
Teton County,2010,5486
Teton County,2011,5502
Teton County,2012,5514
Teton County,2013,5524
Teton County,2014,5553
Teton County,2015,5581
Teton County,2016,5673
Teton County,2017,5787
Teton County,2018,5966
Teton County,2019,6172
Twin Falls County,2010,31139
Twin Falls County,2011,31327
Twin Falls County,2012,31478
Twin Falls County,2013,31741
Twin Falls County,2014,32078
Twin Falls County,2015,32426
Twin Falls County,2016,32825
Twin Falls County,2017,33255
Twin Falls County,2018,33707
Twin Falls County,2019,34199
Valley County,2010,11797
Valley County,2011,11841
Valley County,2012,11862
Valley County,2013,11919
Valley County,2014,12004
Valley County,2015,12100
Valley County,2016,12191
Valley County,2017,12336
Valley County,2018,12528
Valley County,2019,12710
Washington County,2010,4535
Washington County,2011,4557
Washington County,2012,4574
Washington County,2013,4587
Washington County,2014,4600
Washington County,2015,4615
Washington County,2016,4631
Washington County,2017,4652
Washington County,2018,4663
Washington County,2019,4689
