county,year,female_1544,popestimate,total_births,br_crude,br
Lemhi County,2016,1022,7709,80,10.377481,78.277885
Lewis County,2016,534,3846,39,10.140406,73.033707
Lincoln County,2016,1027,5303,56,10.560061,54.527752
Madison County,2016,11108,38972,1073,27.532587,96.597046
Minidoka County,2016,3677,20613,304,14.747974,82.676094
Nez Perce County,2016,7259,40136,497,12.382898,68.466728
Oneida County,2016,688,4296,50,11.638734,72.674416
Owyhee County,2016,1936,11364,136,11.967617,70.247932
Payette County,2016,3974,22888,289,12.626704,72.722694
Power County,2016,1337,7681,123,16.01354,91.997009
Shoshone County,2016,1859,12416,148,11.920103,79.612694
Teton County,2016,2150,11165,144,12.897448,66.976746
Twin Falls County,2016,16455,83819,1240,14.793782,75.357033
Valley County,2016,1467,10422,96,9.2112837,65.439674
Washington County,2016,1507,10032,113,11.263955,74.983414
Ada County,2017,91740,456548,4832,10.583772,52.670589
Adams County,2017,510,4127,31,7.5115094,60.784313
Bannock County,2017,17719,85482,1189,13.909361,67.103111
Bear Lake County,2017,1019,6023,83,13.780508,81.452408
Benewah County,2017,1360,9157,97,10.592989,71.323532
Bingham County,2017,8628,45884,603,13.141836,69.888733
Blaine County,2017,3716,22373,188,8.4029856,50.592033
Boise County,2017,993,7347,61,8.3027086,61.430012
Bonner County,2017,6618,43654,425,9.7356482,64.218796
Bonneville County,2017,22644,114488,1872,16.351059,82.670906
Boundary County,2017,1892,11965,121,10.112829,63.953487
Butte County,2017,374,2585,33,12.765958,88.235291
Camas County,2017,155,1096,13,11.861314,83.870964
Canyon County,2017,43738,216858,3057,14.096783,69.893456
Caribou County,2017,1164,6973,95,13.623979,81.61512
Cassia County,2017,4350,23650,392,16.575052,90.114944
Clark County,2017,167,879,9,10.238908,53.892216
Clearwater County,2017,1033,8646,69,7.9805689,66.795738
Custer County,2017,547,4135,38,9.1898432,69.469833
Elmore County,2017,5210,26881,470,17.484468,90.211136
Franklin County,2017,2502,13467,191,14.182817,76.338928
Fremont County,2017,2290,13122,175,13.336382,76.419212
Gem County,2017,2747,17311,195,11.264514,70.986534
Gooding County,2017,2576,15121,197,13.028239,76.475159
Idaho County,2017,2083,16373,158,9.650034,75.852135
Jefferson County,2017,5419,28439,497,17.476002,91.71434
Jerome County,2017,4386,23768,364,15.314709,82.991333
Kootenai County,2017,28358,157320,1809,11.498856,63.791523
Latah County,2017,9665,39741,450,11.323318,46.559753
Lemhi County,2017,1057,7829,78,9.9629583,73.793755
Lewis County,2017,543,3884,34,8.7538624,62.615101
Lincoln County,2017,1054,5376,79,14.694941,74.95256
Madison County,2017,11148,39370,1133,28.778257,101.63258
Minidoka County,2017,3710,20722,325,15.683814,87.601082
Nez Perce County,2017,7359,40289,467,11.591253,63.459709
Oneida County,2017,689,4389,56,12.759171,81.277214
Owyhee County,2017,2000,11618,141,12.13634,70.5
Payette County,2017,4039,23163,314,13.556103,77.742012
Power County,2017,1316,7606,114,14.988167,86.626137
Shoshone County,2017,1905,12519,142,11.342759,74.54068
Teton County,2017,2174,11445,148,12.931411,68.077278
Twin Falls County,2017,16889,85374,1214,14.219786,71.881104
Valley County,2017,1516,10667,93,8.7184772,61.345646
Washington County,2017,1496,10051,107,10.645707,71.524063
Ada County,2018,94192,468764,4861,10.369823,51.607357
Adams County,2018,516,4234,29,6.8493152,56.20155
Bannock County,2018,18091,86674,1112,12.829683,61.46703
Bear Lake County,2018,1010,6044,77,12.739907,76.237625
Benewah County,2018,1355,9218,92,9.9804726,67.896683
Bingham County,2018,8728,46129,587,12.725183,67.254814
Blaine County,2018,3800,22771,197,8.6513548,51.842106
Boise County,2018,1044,7655,47,6.1397781,45.019157
Bonner County,2018,6767,44705,405,9.0593891,59.84927
Bonneville County,2018,23151,116444,1815,15.586891,78.398338
Boundary County,2018,1843,12016,154,12.816245,83.559418
Butte County,2018,391,2587,25,9.663703,63.938618
Camas County,2018,163,1121,4,3.5682425,24.539877
Canyon County,2018,45043,223236,2918,13.071368,64.782539
Caribou County,2018,1207,7037,99,14.068495,82.021538
Cassia County,2018,4437,23791,377,15.846329,84.967323
Clark County,2018,173,851,11,12.925969,63.583817
Clearwater County,2018,1065,8758,65,7.4217858,61.032864
Custer County,2018,553,4250,31,7.2941175,56.057865
Elmore County,2018,5334,27362,417,15.240114,78.177727
Franklin County,2018,2583,13704,194,14.15645,75.106468
Fremont County,2018,2329,13155,189,14.367161,81.150711
Gem County,2018,2840,17587,194,11.030875,68.30986
Gooding County,2018,2567,15116,182,12.040222,70.899879
Idaho County,2018,2090,16476,144,8.7399855,68.899521
Jefferson County,2018,5664,29405,444,15.099473,78.389832
Jerome County,2018,4403,24066,375,15.58215,85.169205
Kootenai County,2018,29061,161209,1733,10.75002,59.633186
Latah County,2018,9652,39829,391,9.816968,40.509739
Lemhi County,2018,1084,7932,68,8.5728693,62.730629
Lewis County,2018,525,3832,38,9.9164925,72.380951
Lincoln County,2018,1036,5398,59,10.929974,56.949806
Madison County,2018,11125,39261,1097,27.941214,98.606743
Minidoka County,2018,3707,20719,279,13.4659,75.263016
Nez Perce County,2018,7343,40256,457,11.352345,62.236145
Oneida County,2018,702,4462,56,12.550426,79.772079
Owyhee County,2018,2007,11669,138,11.826206,68.759346
Payette County,2018,4096,23507,286,12.166589,69.824219
Power County,2018,1345,7700,104,13.506494,77.323418
Shoshone County,2018,1975,12790,162,12.666145,82.025314
Teton County,2018,2168,11651,125,10.728693,57.656826
Twin Falls County,2018,17015,86029,1152,13.390833,67.704964
Valley County,2018,1599,11021,107,9.7087383,66.916824
Washington County,2018,1511,10115,109,10.776075,72.137657
Ada County,2019,96810,481587,4929,10.234911,50.914162
Adams County,2019,527,4294,33,7.685142,62.618595
Bannock County,2019,18338,87808,1124,12.800656,61.293488
Bear Lake County,2019,1017,6125,76,12.408163,74.729599
Benewah County,2019,1349,9298,108,11.615401,80.059303
Bingham County,2019,8902,46811,635,13.565187,71.332283
Blaine County,2019,3800,23021,179,7.7755094,47.105263
Boise County,2019,1059,7831,51,6.512578,48.158642
Bonner County,2019,6797,45739,439,9.5979357,64.587318
Bonneville County,2019,23777,119062,1834,15.403739,77.133362
Boundary County,2019,1896,12245,139,11.351572,73.312233
Butte County,2019,396,2597,24,9.2414322,60.60606
Camas County,2019,160,1106,10,9.0415916,62.5
Canyon County,2019,46533,229849,3044,13.243477,65.415939
Caribou County,2019,1226,7155,87,12.159329,70.962479
Cassia County,2019,4473,24030,409,17.020391,91.437515
Clark County,2019,167,845,10,11.834319,59.880241
Clearwater County,2019,1072,8756,73,8.3371401,68.097015
Custer County,2019,568,4315,25,5.7937427,44.014084
Elmore County,2019,5309,27511,448,16.284395,84.38501
Franklin County,2019,2583,13876,224,16.142981,86.720871
Fremont County,2019,2324,13099,175,13.359798,75.301208
Gem County,2019,2896,18112,188,10.379859,64.91713
Gooding County,2019,2604,15179,195,12.846696,74.884796
Idaho County,2019,2102,16667,157,9.4198112,74.690773
Jefferson County,2019,5771,29871,449,15.031301,77.802811
Jerome County,2019,4526,24412,332,13.599869,73.353958
Kootenai County,2019,29879,165697,1861,11.231344,62.284546
Latah County,2019,9745,40108,414,10.32213,42.483326
Lemhi County,2019,1105,8027,88,10.963,79.638008
Lewis County,2019,557,3838,34,8.8587809,61.041294
Lincoln County,2019,1036,5366,69,12.85874,66.602318
Madison County,2019,11347,39907,1146,28.716766,100.99586
Minidoka County,2019,3817,21039,328,15.590095,85.931358
Nez Perce County,2019,7360,40408,458,11.33439,62.22826
Oneida County,2019,717,4531,58,12.800706,80.892609
Owyhee County,2019,2051,11823,147,12.433393,71.672356
Payette County,2019,4187,23951,312,13.026596,74.516357
