location,year,units
IDAHO,2020,756174
IDAHO,2021,775024
IDAHO,2022,796656
IDAHO,2023,815293
IDAHO,2010,668964
IDAHO,2011,673018
IDAHO,2012,676966
IDAHO,2013,683118
IDAHO,2014,691574
IDAHO,2015,700080
IDAHO,2016,709739
IDAHO,2017,721587
IDAHO,2018,735514
IDAHO,2019,751105
