year,cfips,returns_in,indiv_in,agi_in,indiv_out,agi_out,returns_stay,indiv_stay,agi_stay,county_name
2022,81,591,961,79832,836,41840,4478,9327,492858,Teton County
2012,83,2063,4625,67692,4426,60810,25907,61934,1118165,Twin Falls County
2013,83,2139,4952,83721,4482,76311,26018,62272,1259085,Twin Falls County
2014,83,2083,4765,81905,4322,71214,26529,63200,1266715,Twin Falls County
2015,83,1559,3383,60457,3216,187221,27424,65061,1400986,Twin Falls County
2016,83,2256,5080,106247,4362,79445,27397,64806,1451667,Twin Falls County
2017,83,3015,6722,182390,5806,117234,27296,64378,1464467,Twin Falls County
2018,83,2296,4814,111399,4443,92958,28464,66775,1526081,Twin Falls County
2019,83,2210,4567,105786,4097,92230,29102,67592,1658401,Twin Falls County
2020,83,2642,5806,145038,4588,93731,29279,71016,1769834,Twin Falls County
2021,83,2847,5786,171582,4662,111004,30175,67339,1889694,Twin Falls County
2022,83,2600,5127,160877,4233,125319,32141,70757,2289697,Twin Falls County
2012,85,413,769,21904,781,16927,3461,7205,177603,Valley County
2013,85,424,781,27459,656,15616,3519,7282,201704,Valley County
2014,85,410,787,23576,608,16805,3607,7418,205286,Valley County
2015,85,289,500,16341,473,13927,3752,7752,221967,Valley County
2016,85,499,952,34488,586,14389,3778,7724,235625,Valley County
2017,85,716,1407,49786,841,24683,3779,7696,244667,Valley County
2018,85,605,1118,47871,706,19539,4068,8265,288217,Valley County
2019,85,498,948,42291,703,22963,4280,8676,343911,Valley County
2020,85,697,1353,72693,780,22916,4339,8910,357587,Valley County
2021,85,645,1256,84601,970,42917,4402,8700,393933,Valley County
2022,85,576,1040,79714,847,77181,4685,9337,530418,Valley County
2012,87,241,574,8119,605,8723,3171,7538,119466,Washington County
2013,87,272,636,11262,611,8414,3114,7400,130158,Washington County
2014,87,252,552,9153,553,9137,3113,7379,130181,Washington County
2015,87,181,391,6699,415,6808,3197,7490,139627,Washington County
2016,87,273,626,11184,470,8383,3179,7465,141903,Washington County
2017,87,361,787,16973,619,11580,3135,7266,136725,Washington County
2018,87,284,647,14129,589,10154,3233,7440,146637,Washington County
2019,87,289,578,13789,522,11125,3290,7449,161466,Washington County
2020,87,420,869,24561,484,12709,3317,7841,165102,Washington County
2021,87,432,915,24817,574,11819,3493,7675,185082,Washington County
2022,87,351,767,22549,525,15469,3758,8171,231482,Washington County
