age_group,totalpop,mpop,fpop
Under 5 years,112576,57644,54932
5 to 9 years,125400,64120,61280
10 to 14 years,135597,69665,65932
15 to 19 years,142387,70777,71610
20 to 24 years,125853,65642,60211
25 to 29 years,120574,62403,58171
30 to 34 years,119422,60499,58923
35 to 39 years,119462,61043,58419
40 to 44 years,119218,61032,58186
45 to 49 years,105614,54376,51238
50 to 54 years,103553,52988,50565
55 to 59 years,109744,54666,55078
60 to 64 years,112166,55447,56719
65 to 69 years,101835,49520,52315
70 to 74 years,82484,40838,41646
75 to 79 years,55343,25915,29428
80 to 84 years,32620,15535,17085
85 years and over,30261,11618,18643
