"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"< 1 year"	"1"	26	4680	555.6	362.9	814.0	109.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	17816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"5-14 years"	"5-14"	Suppressed	44541	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"15-24 years"	"15-24"	22	44087	49.9	31.3	75.6	10.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"25-34 years"	"25-34"	36	45979	78.3	54.8	108.4	13.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"35-44 years"	"35-44"	65	49925	130.2	100.5	165.9	16.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"45-54 years"	"45-54"	121	39366	307.4	252.6	362.1	27.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"55-64 years"	"55-64"	156	20930	745.3	628.4	862.3	59.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"65-74 years"	"65-74"	264	13730	1922.8	1690.9	2154.7	118.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"75-84 years"	"75-84"	529	9874	5357.5	4901.0	5814.1	232.9	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"85+ years"	"85+"	489	3364	14536.3	13247.9	15824.7	657.4	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"< 1 year"	"1"	34	4764	713.7	494.2	997.3	122.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	18278	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"5-14 years"	"5-14"	Suppressed	45424	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"15-24 years"	"15-24"	28	44491	62.9	41.8	91.0	11.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"25-34 years"	"25-34"	38	47810	79.5	56.2	109.1	12.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"35-44 years"	"35-44"	55	50119	109.7	82.7	142.8	14.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"45-54 years"	"45-54"	114	41059	277.6	226.7	328.6	26.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"55-64 years"	"55-64"	164	21658	757.2	641.3	873.1	59.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"65-74 years"	"65-74"	315	13813	2280.5	2028.6	2532.3	128.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"75-84 years"	"75-84"	533	10020	5319.4	4867.8	5771.0	230.4	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"85+ years"	"85+"	536	3468	15455.6	14147.1	16764.1	667.6	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"< 1 year"	"1"	19	4937	Unreliable	231.7	601.0	88.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	18983	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"5-14 years"	"5-14"	14	47183	Unreliable	16.2	49.8	7.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"15-24 years"	"15-24"	31	46470	66.7	45.3	94.7	12.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"25-34 years"	"25-34"	40	49379	81.0	57.9	110.3	12.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"35-44 years"	"35-44"	73	51196	142.6	111.8	179.3	16.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"45-54 years"	"45-54"	124	44111	281.1	231.6	330.6	25.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"55-64 years"	"55-64"	169	23374	723.0	614.0	832.0	55.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"65-74 years"	"65-74"	294	14262	2061.4	1825.8	2297.1	120.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"75-84 years"	"75-84"	533	10301	5174.3	4735.0	5613.5	224.1	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"85+ years"	"85+"	560	3700	15135.1	13881.6	16388.7	639.6	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"< 1 year"	"1"	32	4896	653.6	447.1	922.7	115.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"1-4 years"	"1-4"	10	19572	Unreliable	24.5	94.0	16.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"5-14 years"	"5-14"	Suppressed	48362	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"15-24 years"	"15-24"	33	46973	70.3	48.4	98.7	12.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"25-34 years"	"25-34"	29	50198	57.8	38.7	83.0	10.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"35-44 years"	"35-44"	79	51517	153.3	121.4	191.1	17.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"45-54 years"	"45-54"	135	45219	298.5	248.2	348.9	25.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"55-64 years"	"55-64"	175	25816	677.9	577.4	778.3	51.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"65-74 years"	"65-74"	270	14618	1847.0	1626.7	2067.4	112.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"75-84 years"	"75-84"	536	10653	5031.4	4605.5	5457.4	217.3	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"85+ years"	"85+"	575	3792	15163.5	13924.1	16402.9	632.4	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"< 1 year"	"1"	36	4994	720.9	504.9	998.0	120.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	19821	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"5-14 years"	"5-14"	Suppressed	49203	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"15-24 years"	"15-24"	35	46896	74.6	52.0	103.8	12.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"25-34 years"	"25-34"	34	50693	67.1	46.4	93.7	11.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"35-44 years"	"35-44"	71	51417	138.1	107.8	174.2	16.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"45-54 years"	"45-54"	133	46578	285.5	237.0	334.1	24.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"55-64 years"	"55-64"	201	27910	720.2	620.6	819.7	50.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"65-74 years"	"65-74"	313	15031	2082.4	1851.7	2313.1	117.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"75-84 years"	"75-84"	551	10805	5099.5	4673.7	5525.3	217.2	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"85+ years"	"85+"	624	4045	15426.5	14216.0	16636.9	617.6	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"< 1 year"	"1"	36	5111	704.4	493.3	975.1	117.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	20145	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"5-14 years"	"5-14"	12	49933	Unreliable	12.4	42.0	6.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"15-24 years"	"15-24"	29	47393	61.2	41.0	87.9	11.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"25-34 years"	"25-34"	31	51460	60.2	40.9	85.5	10.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"35-44 years"	"35-44"	61	52042	117.2	89.7	150.6	15.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"45-54 years"	"45-54"	157	47922	327.6	276.4	378.9	26.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"55-64 years"	"55-64"	209	29960	697.6	603.0	792.2	48.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"65-74 years"	"65-74"	283	15612	1812.7	1601.5	2023.9	107.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"75-84 years"	"75-84"	542	11111	4878.0	4467.4	5288.7	209.5	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"85+ years"	"85+"	598	4237	14113.8	12982.5	15245.0	577.2	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"< 1 year"	"1"	33	5283	624.6	430.0	877.2	108.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	21146	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"5-14 years"	"5-14"	Suppressed	51840	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"15-24 years"	"15-24"	27	48597	55.6	36.6	80.8	10.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"25-34 years"	"25-34"	32	52997	60.4	41.3	85.2	10.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"35-44 years"	"35-44"	65	53524	121.4	93.7	154.8	15.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"45-54 years"	"45-54"	155	49891	310.7	261.8	359.6	25.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"55-64 years"	"55-64"	217	32805	661.5	573.5	749.5	44.9	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"65-74 years"	"65-74"	315	16614	1896.0	1686.6	2105.4	106.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"75-84 years"	"75-84"	585	11478	5096.7	4683.7	5509.7	210.7	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"85+ years"	"85+"	725	4580	15829.7	14677.4	16982.0	587.9	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"< 1 year"	"1"	40	5609	713.1	509.5	971.1	112.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	22276	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"5-14 years"	"5-14"	13	53906	Unreliable	12.8	41.2	6.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"15-24 years"	"15-24"	23	50083	45.9	29.1	68.9	9.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"25-34 years"	"25-34"	37	54740	67.6	47.6	93.2	11.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"35-44 years"	"35-44"	82	55163	148.7	118.2	184.5	16.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"45-54 years"	"45-54"	162	51678	313.5	265.2	361.8	24.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"55-64 years"	"55-64"	235	35435	663.2	578.4	748.0	43.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"65-74 years"	"65-74"	306	17896	1709.9	1518.3	1901.5	97.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"75-84 years"	"75-84"	600	11845	5065.4	4660.1	5470.7	206.8	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"85+ years"	"85+"	731	4867	15019.5	13930.7	16108.3	555.5	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"< 1 year"	"1"	37	5769	641.4	451.6	884.0	105.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	22981	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	55638	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"15-24 years"	"15-24"	29	51335	56.5	37.8	81.1	10.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"25-34 years"	"25-34"	47	56534	83.1	61.1	110.6	12.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"35-44 years"	"35-44"	69	56099	123.0	95.7	155.7	14.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"45-54 years"	"45-54"	161	53216	302.5	255.8	349.3	23.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"55-64 years"	"55-64"	212	37662	562.9	487.1	638.7	38.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"65-74 years"	"65-74"	309	18982	1627.9	1446.4	1809.4	92.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"75-84 years"	"75-84"	574	12034	4769.8	4379.6	5160.0	199.1	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"85+ years"	"85+"	811	5118	15846.0	14755.4	16936.6	556.4	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2007"	"2007"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"< 1 year"	"1"	32	5639	567.5	388.2	801.1	100.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	23258	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	56928	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"15-24 years"	"15-24"	29	52014	55.8	37.3	80.1	10.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"25-34 years"	"25-34"	39	57080	68.3	48.6	93.4	10.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"35-44 years"	"35-44"	82	56120	146.1	116.2	181.4	16.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"45-54 years"	"45-54"	163	54108	301.2	255.0	347.5	23.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"55-64 years"	"55-64"	233	39719	586.6	511.3	661.9	38.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"65-74 years"	"65-74"	316	20364	1551.8	1380.7	1722.9	87.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"75-84 years"	"75-84"	568	12104	4692.7	4306.7	5078.6	196.9	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"85+ years"	"85+"	770	5284	14572.3	13543.0	15601.6	525.1	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2008"	"2008"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"< 1 year"	"1"	28	5213	537.1	356.9	776.3	101.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	23313	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	58082	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"15-24 years"	"15-24"	25	52092	48.0	31.1	70.8	9.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"25-34 years"	"25-34"	33	57748	57.1	39.3	80.3	9.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"35-44 years"	"35-44"	75	55949	134.1	105.4	168.0	15.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"45-54 years"	"45-54"	161	54866	293.4	248.1	338.8	23.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"55-64 years"	"55-64"	272	41611	653.7	576.0	731.4	39.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"65-74 years"	"65-74"	338	21831	1548.3	1383.2	1713.3	84.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"75-84 years"	"75-84"	543	12243	4435.2	4062.1	4808.2	190.3	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"85+ years"	"85+"	795	5629	14123.3	13141.5	15105.1	500.9	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2009"	"2009"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"< 1 year"	"1"	25	5253	475.9	308.0	702.6	95.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	23104	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	58910	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"15-24 years"	"15-24"	33	52215	63.2	43.5	88.8	11.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"25-34 years"	"25-34"	52	57613	90.3	67.4	118.4	12.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"35-44 years"	"35-44"	63	55825	112.9	86.7	144.4	14.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"45-54 years"	"45-54"	160	55081	290.5	245.5	335.5	23.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"55-64 years"	"55-64"	250	43316	577.2	505.6	648.7	36.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"65-74 years"	"65-74"	329	22789	1443.7	1287.7	1599.7	79.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"75-84 years"	"75-84"	576	12414	4639.9	4261.0	5018.8	193.3	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"85+ years"	"85+"	812	5845	13892.2	12936.7	14847.8	487.5	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2010"	"2010"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"< 1 year"	"1"	24	5032	476.9	305.6	709.7	97.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	22621	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	59870	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"15-24 years"	"15-24"	32	52632	60.8	41.6	85.8	10.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"25-34 years"	"25-34"	36	59016	61.0	42.7	84.5	10.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"35-44 years"	"35-44"	67	56455	118.7	92.0	150.7	14.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"45-54 years"	"45-54"	178	55586	320.2	273.2	367.3	24.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"55-64 years"	"55-64"	293	46133	635.1	562.4	707.8	37.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"65-74 years"	"65-74"	388	24472	1585.5	1427.7	1743.2	80.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"75-84 years"	"75-84"	604	12857	4697.8	4323.2	5072.5	191.2	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"85+ years"	"85+"	954	6168	15466.9	14485.4	16448.4	500.8	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2011"	"2011"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"< 1 year"	"1"	24	5038	476.4	305.2	708.8	97.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	21954	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	61151	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"15-24 years"	"15-24"	25	53561	46.7	30.2	68.9	9.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"25-34 years"	"25-34"	41	60199	68.1	48.9	92.4	10.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"35-44 years"	"35-44"	74	57440	128.8	101.2	161.7	15.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"45-54 years"	"45-54"	173	55568	311.3	264.9	357.7	23.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"55-64 years"	"55-64"	287	47430	605.1	535.1	675.1	35.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"65-74 years"	"65-74"	380	27139	1400.2	1259.4	1541.0	71.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"75-84 years"	"75-84"	587	13251	4429.9	4071.5	4788.2	182.8	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"85+ years"	"85+"	929	6330	14676.1	13732.4	15619.9	481.5	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2012"	"2012"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2013"	"2013"	"< 1 year"	"1"	20	5151	388.3	237.2	599.7	86.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	21560	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	61850	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
