"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"< 1 year"	"1"	26	4680	555.6	362.9	814.0	109.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"1-4 years"	"1-4"	Suppressed	17816	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"5-9 years"	"5-9"	Suppressed	22392	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"10-14 years"	"10-14"	Suppressed	22149	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"15-19 years"	"15-19"	12	22265	Unreliable	27.8	94.1	15.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"20-24 years"	"20-24"	10	21822	Unreliable	22.0	84.3	14.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"25-29 years"	"25-29"	14	22942	Unreliable	33.4	102.4	16.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"30-34 years"	"30-34"	22	23037	95.5	59.8	144.6	20.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"35-39 years"	"35-39"	28	25216	111.0	73.8	160.5	21.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"40-44 years"	"40-44"	37	24709	149.7	105.4	206.4	24.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"45-49 years"	"45-49"	58	21809	265.9	201.9	343.8	34.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"50-54 years"	"50-54"	63	17557	358.8	275.7	459.1	45.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"55-59 years"	"55-59"	73	12199	598.4	469.1	752.4	70.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"60-64 years "	"60-64"	83	8731	950.6	757.2	1178.5	104.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"65-69 years"	"65-69"	91	7262	1253.1	1008.9	1538.5	131.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"70-74 years"	"70-74"	173	6468	2674.7	2276.1	3073.3	203.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"75-79 years"	"75-79"	259	5829	4443.3	3902.2	4984.4	276.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"80-84 years"	"80-84"	270	4045	6674.9	5878.7	7471.1	406.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"85-89 years"	"85-89"	267	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"90-94 years"	"90-94"	145	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"95-99 years"	"95-99"	58	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"100+ years"	"100+"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"< 1 year"	"1"	34	4764	713.7	494.2	997.3	122.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"1-4 years"	"1-4"	Suppressed	18278	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"5-9 years"	"5-9"	Suppressed	22873	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"10-14 years"	"10-14"	Suppressed	22551	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"15-19 years"	"15-19"	12	22237	Unreliable	27.9	94.3	15.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"20-24 years"	"20-24"	16	22254	Unreliable	41.1	116.8	18.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"25-29 years"	"25-29"	18	23826	Unreliable	44.8	119.4	17.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"30-34 years"	"30-34"	20	23984	83.4	50.9	128.8	18.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"35-39 years"	"35-39"	18	25148	Unreliable	42.4	113.1	16.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"40-44 years"	"40-44"	37	24971	148.2	104.3	204.2	24.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"45-49 years"	"45-49"	54	22446	240.6	180.7	313.9	32.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"50-54 years"	"50-54"	60	18613	322.4	246.0	414.9	41.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"55-59 years"	"55-59"	74	12705	582.4	457.3	731.2	67.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"60-64 years "	"60-64"	90	8953	1005.2	808.3	1235.6	106.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"65-69 years"	"65-69"	125	7298	1712.8	1412.5	2013.1	153.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"70-74 years"	"70-74"	190	6515	2916.3	2501.7	3331.0	211.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"75-79 years"	"75-79"	257	5912	4347.1	3815.6	4878.6	271.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"80-84 years"	"80-84"	276	4108	6718.6	5926.0	7511.2	404.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"85-89 years"	"85-89"	275	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"90-94 years"	"90-94"	189	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"95-99 years"	"95-99"	60	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"100+ years"	"100+"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"< 1 year"	"1"	19	4937	Unreliable	231.7	601.0	88.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"1-4 years"	"1-4"	Suppressed	18983	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"5-9 years"	"5-9"	Suppressed	23698	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"10-14 years"	"10-14"	12	23485	Unreliable	26.4	89.3	14.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"15-19 years"	"15-19"	14	22558	Unreliable	33.9	104.1	16.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"20-24 years"	"20-24"	17	23912	Unreliable	41.4	113.8	17.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"25-29 years"	"25-29"	24	24135	99.4	63.7	148.0	20.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"30-34 years"	"30-34"	16	25244	Unreliable	36.2	102.9	15.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"35-39 years"	"35-39"	30	25417	118.0	79.6	168.5	21.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"40-44 years"	"40-44"	43	25779	166.8	120.7	224.7	25.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"45-49 years"	"45-49"	55	23660	232.5	175.1	302.6	31.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"50-54 years"	"50-54"	69	20451	337.4	262.5	427.0	40.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"55-59 years"	"55-59"	74	13759	537.8	422.3	675.2	62.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"60-64 years "	"60-64"	95	9615	988.0	799.4	1207.8	101.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"65-69 years"	"65-69"	140	7619	1837.5	1533.1	2141.9	155.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"70-74 years"	"70-74"	154	6643	2318.2	1952.1	2684.4	186.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"75-79 years"	"75-79"	250	5869	4259.7	3731.6	4787.7	269.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"80-84 years"	"80-84"	283	4432	6385.4	5641.4	7129.3	379.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"85-89 years"	"85-89"	311	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"90-94 years"	"90-94"	169	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"95-99 years"	"95-99"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"100+ years"	"100+"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2001"	"2001"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"< 1 year"	"1"	32	4896	653.6	447.1	922.7	115.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"1-4 years"	"1-4"	10	19572	Unreliable	24.5	94.0	16.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"5-9 years"	"5-9"	Suppressed	24033	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"10-14 years"	"10-14"	Suppressed	24329	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"15-19 years"	"15-19"	11	22698	Unreliable	24.2	86.7	14.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"20-24 years"	"20-24"	22	24275	90.6	56.8	137.2	19.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"25-29 years"	"25-29"	12	24483	Unreliable	25.3	85.6	14.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"30-34 years"	"30-34"	17	25715	Unreliable	38.5	105.8	16.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"35-39 years"	"35-39"	35	25316	138.3	96.3	192.3	23.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"40-44 years"	"40-44"	44	26201	167.9	122.0	225.4	25.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"45-49 years"	"45-49"	62	24436	253.7	194.5	325.3	32.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"50-54 years"	"50-54"	73	20783	351.2	275.3	441.6	41.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"55-59 years"	"55-59"	87	15472	562.3	450.4	693.6	60.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"60-64 years "	"60-64"	88	10344	850.7	682.3	1048.1	90.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"65-69 years"	"65-69"	106	7850	1350.3	1093.3	1607.4	131.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"70-74 years"	"70-74"	164	6768	2423.2	2052.3	2794.0	189.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"75-79 years"	"75-79"	239	5909	4044.7	3531.9	4557.5	261.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"80-84 years"	"80-84"	297	4744	6260.5	5548.5	6972.6	363.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"85-89 years"	"85-89"	263	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"90-94 years"	"90-94"	212	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"95-99 years"	"95-99"	87	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"100+ years"	"100+"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2002"	"2002"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"< 1 year"	"1"	36	4994	720.9	504.9	998.0	120.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"1-4 years"	"1-4"	Suppressed	19821	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"5-9 years"	"5-9"	Suppressed	24487	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"10-14 years"	"10-14"	Suppressed	24716	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"15-19 years"	"15-19"	14	22710	Unreliable	33.7	103.4	16.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"20-24 years"	"20-24"	21	24186	86.8	53.7	132.7	18.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"25-29 years"	"25-29"	10	24881	Unreliable	19.3	73.9	12.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"30-34 years"	"30-34"	24	25812	93.0	59.6	138.3	19.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"35-39 years"	"35-39"	29	24967	116.2	77.8	166.8	21.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"40-44 years"	"40-44"	42	26450	158.8	114.4	214.6	24.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"45-49 years"	"45-49"	47	25059	187.6	137.8	249.4	27.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"50-54 years"	"50-54"	86	21519	399.6	319.7	493.6	43.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"55-59 years"	"55-59"	104	16648	624.7	504.6	744.8	61.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"60-64 years "	"60-64"	97	11262	861.3	698.5	1050.7	87.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"65-69 years"	"65-69"	116	8233	1409.0	1152.6	1665.4	130.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"70-74 years"	"70-74"	197	6798	2897.9	2493.2	3302.6	206.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"75-79 years"	"75-79"	239	5989	3990.6	3484.7	4496.6	258.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"80-84 years"	"80-84"	312	4816	6478.4	5759.5	7197.3	366.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"85-89 years"	"85-89"	327	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"90-94 years"	"90-94"	213	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"95-99 years"	"95-99"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"100+ years"	"100+"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2003"	"2003"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"< 1 year"	"1"	36	5111	704.4	493.3	975.1	117.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"1-4 years"	"1-4"	Suppressed	20145	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"5-9 years"	"5-9"	Suppressed	24775	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"10-14 years"	"10-14"	10	25158	Unreliable	19.1	73.1	12.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"15-19 years"	"15-19"	13	23253	Unreliable	29.8	95.6	15.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"20-24 years"	"20-24"	16	24140	Unreliable	37.9	107.6	16.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"25-29 years"	"25-29"	11	25662	Unreliable	21.4	76.7	12.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"30-34 years"	"30-34"	20	25798	77.5	47.4	119.7	17.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"35-39 years"	"35-39"	26	25290	102.8	67.2	150.6	20.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"40-44 years"	"40-44"	35	26752	130.8	91.1	182.0	22.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"45-49 years"	"45-49"	81	25492	317.7	252.3	394.9	35.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"50-54 years"	"50-54"	76	22430	338.8	267.0	424.1	38.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"55-59 years"	"55-59"	87	17699	491.6	393.7	606.3	52.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"60-64 years "	"60-64"	122	12261	995.0	818.5	1171.6	90.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"65-69 years"	"65-69"	119	8765	1357.7	1113.7	1601.6	124.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"70-74 years"	"70-74"	164	6847	2395.2	2028.6	2761.8	187.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"75-79 years"	"75-79"	230	6108	3765.6	3278.9	4252.2	248.3	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"80-84 years"	"80-84"	312	5003	6236.3	5544.3	6928.3	353.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"85-89 years"	"85-89"	297	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"90-94 years"	"90-94"	204	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"95-99 years"	"95-99"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"100+ years"	"100+"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2004"	"2004"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"< 1 year"	"1"	33	5283	624.6	430.0	877.2	108.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"1-4 years"	"1-4"	Suppressed	21146	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"5-9 years"	"5-9"	Suppressed	26020	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"10-14 years"	"10-14"	Suppressed	25820	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"15-19 years"	"15-19"	Suppressed	23842	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"20-24 years"	"20-24"	19	24755	Unreliable	46.2	119.9	17.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"25-29 years"	"25-29"	15	26977	Unreliable	31.1	91.7	14.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"30-34 years"	"30-34"	17	26020	Unreliable	38.1	104.6	15.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"35-39 years"	"35-39"	26	26283	98.9	64.6	144.9	19.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"40-44 years"	"40-44"	39	27241	143.2	101.8	195.7	22.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"45-49 years"	"45-49"	65	26170	248.4	191.7	316.6	30.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"50-54 years"	"50-54"	90	23721	379.4	305.1	466.4	40.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"55-59 years"	"55-59"	108	19369	557.6	452.4	662.8	53.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"60-64 years "	"60-64"	109	13436	811.3	659.0	963.6	77.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"65-69 years"	"65-69"	153	9392	1629.0	1370.9	1887.2	131.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"70-74 years"	"70-74"	162	7222	2243.1	1897.7	2588.6	176.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"75-79 years"	"75-79"	250	6304	3965.7	3474.1	4457.3	250.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"80-84 years"	"80-84"	335	5174	6474.7	5781.3	7168.0	353.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"85-89 years"	"85-89"	383	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"90-94 years"	"90-94"	240	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"95-99 years"	"95-99"	86	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"100+ years"	"100+"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2005"	"2005"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"< 1 year"	"1"	40	5609	713.1	509.5	971.1	112.8	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"1-4 years"	"1-4"	Suppressed	22276	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"5-9 years"	"5-9"	Suppressed	27189	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"10-14 years"	"10-14"	Suppressed	26717	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"15-19 years"	"15-19"	Suppressed	24804	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2006"	"2006"	"20-24 years"	"20-24"	17	25279	Unreliable	39.2	107.7	16.3	0.0%
