The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read more about our sources and methodology: https://www.pewtrusts.org/en/research-and-analysis/data-visualizations/2014/fiscal-50/population-change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Change: Population Change Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Region,Annual growth w/ 50-state median 2008,Annual growth w/ 50-state median 2009,Annual growth w/ 50-state median 2010,Annual growth w/ 50-state median 2011,Annual growth w/ 50-state median 2012,Annual growth w/ 50-state median 2013,Annual growth w/ 50-state median 2014,Annual growth w/ 50-state median 2015,Annual growth w/ 50-state median 2016,Annual growth w/ 50-state median 2017,Annual growth w/ 50-state median 2018,Annual growth w/ 50-state median 2019,Annual growth w/ 50-state median 2020,Annual growth w/ 50-state median 2021,Annual growth w/ 50-state median 2022,Annual growth w/ 50-state median 2023,15-yr growth w/ 50-state median ,Annual growth w/ 50-state total 2008,Annual growth w/ 50-state total 2009,Annual growth w/ 50-state total 2010,Annual growth w/ 50-state total 2011,Annual growth w/ 50-state total 2012,Annual growth w/ 50-state total 2013,Annual growth w/ 50-state total 2014,Annual growth w/ 50-state total 2015,Annual growth w/ 50-state total 2016,Annual growth w/ 50-state total 2017,Annual growth w/ 50-state total 2018,Annual growth w/ 50-state total 2019,Annual growth w/ 50-state total 2020,Annual growth w/ 50-state total 2021,Annual growth w/ 50-state total 2022,Annual growth w/ 50-state total 2023,15-yr growth w/ 50-state total ,Annual growth due to nat change 2008,Annual growth due to nat change 2009,Annual growth due to nat change 2010,Annual growth due to nat change 2011,Annual growth due to nat change 2012,Annual growth due to nat change 2013,Annual growth due to nat change 2014,Annual growth due to nat change 2015,Annual growth due to nat change 2016,Annual growth due to nat change 2017,Annual growth due to nat change 2018,Annual growth due to nat change 2019,Annual growth due to nat change 2020,Annual growth due to nat change 2021,Annual growth due to nat change 2022,Annual growth due to nat change 2023,15-yr growth due to nat change ,Annual growth due to net migr 2008,Annual growth due to net migr 2009,Annual growth due to net migr 2010,Annual growth due to net migr 2011,Annual growth due to net migr 2012,Annual growth due to net migr 2013,Annual growth due to net migr 2014,Annual growth due to net migr 2015,Annual growth due to net migr 2016,Annual growth due to net migr 2017,Annual growth due to net migr 2018,Annual growth due to net migr 2019,Annual growth due to net migr 2020,Annual growth due to net migr 2021,Annual growth due to net migr 2022,Annual growth due to net migr 2023,15-yr growth due to net migr 
Hawaii,,0.010887,0.012836,0.011406,0.011335,0.009764,0.004623,0.005415,0.004136,-0.002185,-0.001866,-0.005261,-0.006081,-0.003057,-0.005078,-0.00296,0.004974,,0.010887,0.012836,0.011406,0.011335,0.009764,0.004623,0.005415,0.004136,-0.002185,-0.001866,-0.005261,-0.006081,-0.003057,-0.005078,-0.00296,0.004974,,0.007453,0.006427,0.006658,0.006266,0.006229,0.005833,0.00504,0.005306,0.004536,0.004029,0.002979,0.001873,0.002326,0.001639,0.001636,0.004608,,0.003434,0.006125,0.005032,0.005069,0.003536,-0.00121,0.000375,-0.00117,-0.006721,-0.005895,-0.00824,-0.007955,-0.005383,-0.006716,-0.004596,-0.00184353
Idaho,,0.013113,0.010538,0.008564,0.007346,0.010115,0.012528,0.012404,0.019087,0.021204,0.018799,0.02111,0.021158,0.029847,0.018093,0.01327,0.016621,,0.013113,0.010538,0.008564,0.007346,0.010115,0.012528,0.012404,0.019087,0.021204,0.018799,0.02111,0.021158,0.029847,0.018093,0.01327,0.016621,,0.008873,0.008693,0.007058,0.006607,0.006527,0.006146,0.006212,0.005642,0.005214,0.004306,0.004468,0.003923,0.002546,0.001827,0.002908,0.005571,,0.00424,0.002251,0.001102,0.000739,0.003589,0.006382,0.006192,0.013445,0.015991,0.014493,0.016641,0.017235,0.027301,0.016266,0.010362,0.011038428
Illinois,,0.003902,0.00342,0.002121,0.001185,0.00099,-0.000829,-0.00198,-0.002945,-0.003261,-0.00432,-0.004532,-0.006275,-0.00782,-0.008497,-0.002609,-0.00104,,0.003902,0.00342,0.002121,0.001185,0.00099,-0.000829,-0.00198,-0.002945,-0.003261,-0.00432,-0.004532,-0.006275,-0.00782,-0.008497,-0.002609,-0.00104,,0.005742,0.005532,0.004734,0.004573,0.004129,0.004251,0.004012,0.003934,0.003321,0.002929,0.002598,0.001784,0.000274,0.000201,0.000831,0.003202,,-0.00184,-0.001907,-0.002818,-0.003388,-0.003139,-0.005079,-0.005991,-0.00688,-0.006583,-0.007249,-0.00713,-0.008059,-0.008094,-0.008698,-0.00344,-0.005580221
Indiana,,0.005373,0.004835,0.004113,0.003336,0.00483,0.003872,0.002338,0.004002,0.003641,0.005466,0.004856,0.003557,0.003638,0.002712,0.00438,0.0044,,0.005373,0.004835,0.004113,0.003336,0.00483,0.003872,0.002338,0.004002,0.003641,0.005466,0.004856,0.003557,0.003638,0.002712,0.00438,0.0044,,0.004942,0.0046,0.00394,0.003751,0.003467,0.003607,0.00323,0.003238,0.002549,0.002528,0.0026,0.00204,-0.000023,0.000073,0.001099,0.002782,,0.00043,0.000245,0.000163,-0.000415,0.001364,0.000265,-0.000892,0.000764,0.001092,0.002938,0.002254,0.001516,0.003661,0.002639,0.003281,0.001335366
Iowa,,0.005349,0.005918,0.005229,0.003284,0.005555,0.0054,0.003825,0.003417,0.003359,0.001961,0.003078,0.001255,0.002206,0.000547,0.002285,0.004086,,0.005349,0.005918,0.005229,0.003284,0.005555,0.0054,0.003825,0.003417,0.003359,0.001961,0.003078,0.001255,0.002206,0.000547,0.002285,0.004086,,0.004223,0.004141,0.003163,0.003393,0.003137,0.003418,0.003197,0.003287,0.002621,0.002516,0.002643,0.001966,0.000122,0.000356,0.001181,0.002641,,0.001126,0.001469,0.002375,-0.000109,0.002417,0.001983,0.000628,0.000129,0.000738,-0.000555,0.000435,-0.000711,0.002085,0.00019,0.001104,0.000904157
Kansas,,0.00877,0.009024,0.003992,0.005696,0.00287,0.00261,0.003052,0.000776,-0.000716,0.000638,-0.000039,0.000402,-0.000061,-0.000419,0.001304,0.003078,,0.00877,0.009024,0.003992,0.005696,0.00287,0.00261,0.003052,0.000776,-0.000716,0.000638,-0.000039,0.000402,-0.000061,-0.000419,0.001304,0.003078,,0.006138,0.005882,0.005228,0.005079,0.004888,0.004772,0.004299,0.004305,0.003504,0.003013,0.003457,0.002849,0.000457,0.000433,0.001512,0.003718,,0.002632,0.003461,-0.001553,0.000617,-0.002019,-0.002161,-0.001247,-0.003529,-0.00422,-0.002376,-0.003495,-0.002447,-0.000518,-0.000852,-0.000207,-0.001259732
Kentucky,,0.00634,0.007271,0.00514,0.0039,0.004339,0.002289,0.002747,0.002524,0.003442,0.001949,0.001808,0.001097,-0.000123,0.000879,0.003234,0.003581,,0.00634,0.007271,0.00514,0.0039,0.004339,0.002289,0.002747,0.002524,0.003442,0.001949,0.001808,0.001097,-0.000123,0.000879,0.003234,0.003581,,0.003623,0.003222,0.002947,0.002843,0.002648,0.002747,0.002178,0.002078,0.001367,0.001399,0.001405,0.00066,-0.001561,-0.002002,-0.000444,0.001548,,0.002716,0.00354,0.002702,0.001057,0.001691,-0.000458,0.000569,0.000446,0.002075,0.00055,0.000403,0.000437,0.001438,0.002882,0.003679,0.001608491
Louisiana,,0.012639,0.011797,0.006955,0.005643,0.005209,0.004301,0.004533,0.003074,-0.001639,-0.001973,-0.001322,-0.002784,-0.005369,-0.008434,-0.003111,0.002047,,0.012639,0.011797,0.006955,0.005643,0.005209,0.004301,0.004533,0.003074,-0.001639,-0.001973,-0.001322,-0.002784,-0.005369,-0.008434,-0.003111,0.002047,,0.005435,0.00447,0.00474,0.004708,0.004072,0.004459,0.004397,0.004456,0.0036,0.003043,0.00264,0.00161,0.000034,-0.000072,0.001333,0.0033,,0.007204,0.007236,0.002305,0.000935,0.001137,-0.000157,0.000136,-0.001382,-0.00524,-0.005016,-0.003966,-0.004395,-0.005402,-0.008361,-0.004444,-0.00141556
Maine,,-0.000691,-0.001458,0.000619,-0.000285,0.000338,0.002013,-0.001592,0.002445,0.002548,0.003279,0.004214,0.003248,0.010458,0.007652,0.004595,0.003195,,-0.000691,-0.001458,0.000619,-0.000285,0.000338,0.002013,-0.001592,0.002445,0.002548,0.003279,0.004214,0.003248,0.010458,0.007652,0.004595,0.003195,,0.000412,0.000202,-0.000298,0.000032,-0.000406,-0.000484,-0.001149,-0.001105,-0.001618,-0.001731,-0.001718,-0.002492,-0.003317,-0.004328,-0.003637,-0.001488,,-0.001103,-0.001723,0.000981,-0.000318,0.000744,0.002497,-0.000442,0.003551,0.004166,0.00501,0.005932,0.005739,0.013775,0.011981,0.008232,0.003910865
Maryland,,0.00799,0.010191,0.008889,0.008242,0.006253,0.005885,0.004776,0.003087,0.003525,0.002317,0.002119,0.00014,0.00022,-0.001792,0.00264,0.005584,,0.00799,0.010191,0.008889,0.008242,0.006253,0.005885,0.004776,0.003087,0.003525,0.002317,0.002119,0.00014,0.00022,-0.001792,0.00264,0.005584,,0.005889,0.005204,0.005161,0.005008,0.004525,0.004722,0.004523,0.004382,0.003653,0.003587,0.003167,0.002332,0.001366,0.001837,0.002304,0.003891,,0.002101,0.004498,0.004216,0.003234,0.001728,0.001162,0.000253,-0.001295,-0.000128,-0.00127,-0.001048,-0.002192,-0.001147,-0.003629,0.000336,0.00042526
Massachusetts,,0.00752,0.007492,0.007276,0.007567,0.007636,0.007402,0.004822,0.004383,0.005314,0.003229,0.001331,-0.00019,-0.000823,-0.001317,0.002672,0.005287,,0.00752,0.007492,0.007276,0.007567,0.007636,0.007402,0.004822,0.004383,0.005314,0.003229,0.001331,-0.00019,-0.000823,-0.001317,0.002672,0.005287,,0.003232,0.002827,0.002927,0.002998,0.002608,0.002565,0.002135,0.00226,0.001849,0.001681,0.001368,0.000788,0.000684,0.000787,0.001,0.002022,,0.004288,0.003255,0.00576,0.004569,0.005028,0.004837,0.002687,0.00212,0.003465,0.001547,-0.000038,-0.000977,-0.001508,-0.002104,0.001672,0.00232429
Michigan,,-0.004554,-0.002423,0.000552,0.001542,0.001668,0.001738,0.000247,0.001976,0.002274,0.001056,-0.000249,-0.001827,-0.003228,-0.000482,0.000397,0.000603,,-0.004554,-0.002423,0.000552,0.001542,0.001668,0.001738,0.000247,0.001976,0.002274,0.001056,-0.000249,-0.001827,-0.003228,-0.000482,0.000397,0.000603,,0.003473,0.003267,0.002444,0.002429,0.002091,0.002287,0.001763,0.001889,0.001482,0.001252,0.001205,0.000504,-0.001233,-0.001346,-0.000402,0.001387,,-0.008027,-0.005692,-0.001889,-0.000888,-0.000422,-0.000549,-0.001516,0.000088,0.000792,-0.000196,-0.001455,-0.00233,-0.001995,0.000865,0.000798,-0.00151
